,Brand,Type,Coe_left(yrs),Dep($),Mileage(mile),Road Tax($),Dereg Value($),COE($),Engine Cap(cc),Curb Weight(kg),Manufactured(yrs),Transmission,OMV($),ARF($),Power,No. of Owners,Price($)
843,Mercedes-Benz,Luxury Sedan,9,15690,12500,586,67094,35001,1332,1385,1,1,38854,46396,120,1,168000
844,BMW,SUV,7,15250,20300,1210,59826,30959,1998,1460,3,1,40395,48553,141,2,139777
845,Volkswagen,MPV,5,13500,67000,1194,57318,46229,1984,1790,4,1,34815,40741,162,1,98500
846,Toyota,MPV,5,10630,33888,682,33144,46009,1496,1320,5,1,21301,11822,80,1,61999
847,BMW,Luxury Sedan,2,13440,102000,742,33308,72609,1598,1405,8,1,31290,25806,100,3,45900
848,Mercedes-Benz,Luxury Sedan,5,19730,63200,1202,91686,54000,1991,1615,4,1,59745,79541,155,1,156800
849,Nissan,Luxury Sedan,2,8450,180256,1573,7561,16140,1997,1450,13,1,25376,25376,100,3,19800
850,BMW,Luxury Sedan,9,8840,120000,1976,30680,33568,2497,1650,11,1,38161,38161,150,2,80800
851,Mercedes-Benz,SUV,8,13370,19500,740,45790,27000,1595,1435,2,1,28463,31849,90,1,124388
852,Mazda,Sports Car,8,13080,134000,1454,31533,37502,1999,1151,12,1,38518,38518,118,5,110000
853,Volkswagen,Hatchback,6,11400,15000,624,36798,46778,1395,1249,5,1,20318,10446,92,1,75800
854,BMW,Luxury Sedan,9,16940,6300,1210,76716,40790,1998,1460,1,1,47796,58915,135,1,188000
855,Toyota,Mid-Sized Sedan,4,10670,140000,742,35828,55889,1598,1205,6,1,17452,17452,90,3,53800
856,Mercedes-Benz,SUV,7,13480,17800,740,44062,26659,1595,1435,3,1,27652,30713,90,1,121688
857,Honda,MPV,7,6640,141000,1174,27989,35411,1799,1350,13,1,21681,21681,103,2,52500
858,Toyota,Mid-Sized Sedan,1,8080,112000,955,6236,20997,1496,1130,14,1,13673,15041,81,3,12000
859,Mercedes-Benz,Luxury Sedan,6,14450,56000,740,48858,46489,1595,1430,4,1,28815,27341,90,2,101800
860,Mitsubishi,Mid-Sized Sedan,2,8610,143000,889,7056,12763,1499,1313,12,1,19788,19788,80,3,23800
861,Kia,Mid-Sized Sedan,3,7980,216000,886,9791,14743,1591,1251,12,1,11051,9996,92,6,26500
862,BMW,SUV,7,14620,63200,684,56439,30851,1499,1415,3,1,37248,44148,103,2,132800
863,BMW,Luxury Sedan,0,24940,98232,1210,34952,84590,1997,1620,9,1,54920,54920,180,1,49800
864,Honda,Stationwagon,8,8880,42500,682,28755,26301,1496,1130,2,1,19998,9998,97,1,76800
866,Kia,SUV,8,8570,10898,392,35948,32999,998,1185,2,1,19380,9380,88,1,79800
